host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		5	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			V	Bunyaviridae	schmallenberg virus		78	>50	65	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			III	Reoviridae	bluetongue virus		77	>50	57	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			V	Bunyaviridae	schmallenberg virus		14	<=50	14	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			V	Bunyaviridae	schmallenberg virus		10	<=10	9	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		3	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Eudorcas thomsonii	Eudorcas	thomsonii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		14	<=50	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			III	Reoviridae	bluetongue virus		12	<=50	3	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			III	Reoviridae	bluetongue virus		8	<=10	2	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	"Africa; Asia"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		3	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes			III	Reoviridae	epizootic haemorrhagic disease virus		67	>50	0	wild	2013	2013	2013			Krzysiak et al, 2017	2017	2	JV	not sure if healthy	2022
Genetta genetta	Genetta	genetta		LC	Carnivora	Viverridae	"Europe; Africa; Asia"	Europe	yes	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Giraffa camelopardalis rothschieldii	Giraffa	camelopardalis	rothschieldii	VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Helarctos malayanus	Helarctos	malayanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Leptailurus serval	Leptailurus	serval		LC	Carnivora	Felidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		9	<=10	5	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Lutra lutra	Lutra	lutra		NT	Carnivora	Mustelidae	Europe	Europe	yes	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Lynx lynx	Lynx	lynx		LC	Carnivora	Felidae	"Europe; Asia"	Europe	yes	zoo	no	III	Reoviridae	bluetongue virus		6	<=10	2	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Macropus rufogriseus	Macropus	rufogriseus		LC	Diprotodontia	Macropodidae	Oceania	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		3	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Bos taurus	Bos	taurus		NA	Cetartiodactyla	Bovidae	"Africa; Europe; Asia"	Europe	yes			IV	Flaviviridae	usutu virus		1	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Bos taurus	Bos	taurus		NA	Cetartiodactyla	Bovidae	"Africa; Europe; Asia"	Europe	yes			IV	Flaviviridae	west nile virus		1	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Mephitis mephitis	Mephitis	mephitis		LC	Carnivora	Mephitidae	"North America; South America"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Mungos mungo	Mungos	mungo		LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Camelus bactrianus	Camelus	bactrianus		NA	Cetartiodactyla	Camelidae	Asia	Europe	no			IV	Flaviviridae	usutu virus		6	<=10	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Camelus bactrianus	Camelus	bactrianus		NA	Cetartiodactyla	Camelidae	Asia	Europe	no			IV	Flaviviridae	west nile virus		6	<=10	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		3	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Nasua nasua	Nasua	nasua		LC	Carnivora	Procyonidae	"North America; South America"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	"Asia; Africa"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Ovis aries musimon	Ovis	aries	musimon	NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	III	Reoviridae	bluetongue virus		8	<=10	5	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		4	<=5	1	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera leo bleyenberghi	Panthera	leo	bleyenberghi	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera leo leo	Panthera	leo	leo	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera onca	Panthera	onca		NT	Carnivora	Felidae	"North America; South America"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera pardus kotiya	Panthera	pardus	kotiya	VU	Carnivora	Felidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera pardus	Panthera	pardus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera tigris tigris	Panthera	tigris	tigris	EN	Carnivora	Felidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		4	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Panthera tigris sumatrae	Panthera	tigris	sumatrae	EN	Carnivora	Felidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Pecari tajacu	Pecari	tajacu		LC	Cetartiodactyla	Tayassuidae	"North America; South America"	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Philantomba monticola	Philantomba	monticola		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Potamochoerus porcus pictus	Potamochoerus	porcus	pictus	LC	Cetartiodactyla	Suidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		3	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Potos flavus	Potos	flavus		LC	Carnivora	Procyonidae	South America	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Procyon lotor	Procyon	lotor		LC	Carnivora	Procyonidae	North America	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Equus asinus	Equus	asinus		NA	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes			IV	Flaviviridae	usutu virus		1	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Equus asinus	Equus	asinus		NA	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes			IV	Flaviviridae	west nile virus		1	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Equus caballus caballus	Equus	caballus	caballus	NA	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes			IV	Flaviviridae	usutu virus		3	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Equus caballus caballus	Equus	caballus	caballus	NA	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes			IV	Flaviviridae	west nile virus		3	<=5	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Rusa alfredi	Rusa	alfredi		EN	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		7	<=10	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Suricata suricatta	Suricata	suricatta		LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Sus scrofa	Sus	scrofa		LC	Cetartiodactyla	Suidae	Europe	Europe	yes	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Syncerus caffer nanus	Syncerus	caffer	nanus	NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		4	<=5	4	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Tapirus indicus	Tapirus	indicus		EN	Perissodactyla	Tapiridae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		7	<=10	3	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Tragelaphus euryceros	Tragelaphus	euryceros		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		4	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		13	<=50	1	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Ursus arctos	Ursus	arctos		LC	Carnivora	Ursidae	North America	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		2	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	III	Reoviridae	bluetongue virus		1	<=5	0	captive	2007-2019	2007	2019	5	anesthetized	Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Acinonyx jubatus	Acinonyx	jubatus		VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		12	<=50	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Alouatta caraya	Alouatta	caraya		NT	Primates	Atelidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		10	<=10	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Axis porcinus	Axis	porcinus		EN	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Camelus dromedarius	Camelus	dromedarius		LC	Cetartiodactyla	Camelidae	"Africa; Asia"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Canis lupus signatus	Canis	lupus	signatus	EN	Carnivora	Canidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	usutu virus		10	<=10	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Ceratotherium simum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Cervus nippon	Cervus	nippon		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		8	<=10	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Choloepus didactylus	Choloepus	didactylus		LC	Pilosa	Choloepodidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Chrysocyon brachyurus	Chrysocyon	brachyurus		NT	Carnivora	Canidae	South America	Europe	no	zoo	no	IV	Flaviviridae	usutu virus		2	<=5	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Coendou prehensilis	Coendou	prehensilis		LC	Rodentia	Erethizontidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Cuniculus paca	Cuniculus	paca		LC	Rodentia	Cuniculidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Damaliscus pygargus	Damaliscus	pygargus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Ovis aries	Ovis	aries		NA	Cetartiodactyla	Bovidae	"Europe; Asia"	Europe	yes			IV	Flaviviridae	usutu virus		7	<=10	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Ovis aries	Ovis	aries		NA	Cetartiodactyla	Bovidae	"Europe; Asia"	Europe	yes			IV	Flaviviridae	west nile virus		7	<=10	0	domestic	2002-2018	2002	2018			Kvapil et al, 2021	2021	4	PVL	ok	2022
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Eulemur coronatus	Eulemur	coronatus		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Eulemur mongoz	Eulemur	mongoz		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Giraffa camelopardalis	Giraffa	camelopardalis		VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Hapalemur alaotrensis	Hapalemur	alaotrensis		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Kobus megaceros	Kobus	megaceros		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Lemur catta	Lemur	catta		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Leopardus tigrinus	Leopardus	tigrinus		VU	Carnivora	Felidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Lycaon pictus	Lycaon	pictus		EN	Carnivora	Canidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		12	<=50	4	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Macropus rufogriseus	Macropus	rufogriseus		LC	Diprotodontia	Macropodidae	Oceania	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		12	<=50	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Madoqua kirkii	Madoqua	kirkii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Myrmecophaga tridactyla	Myrmecophaga	tridactyla		VU	Pilosa	Myrmecophagidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	west nile virus		14	<=50	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Oryx beisa	Oryx	beisa		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Oryx leucoryx	Oryx	leucoryx		VU	Cetartiodactyla	Bovidae	"Asia; Africa"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Panthera leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	usutu virus		1	<=5	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Panthera leo leo	Panthera	leo	leo	VU	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	1	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Pithecia pithecia	Pithecia	pithecia		LC	Primates	Pitheciidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Pseudois nayaur	Pseudois	nayaur		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		26	<=50	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Saguinus imperator	Saguinus	imperator		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Tapirus terrestris	Tapirus	terrestris		VU	Perissodactyla	Tapiridae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Tragelaphus angasii	Tragelaphus	angasii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Tragelaphus eurycerus	Tragelaphus	euryceros		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Ursus arctos syriacus	Ursus	arctos	syriacus	LC	Carnivora	Ursidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
Varecia rubra	Varecia	rubra		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	1	anesthetized	Constant et al, 2020	2020	3	PVL	ok	2022
