host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		9	<=10	1	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Oryx dammah	Oryx	dammah		EW	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	I	Herpesviridae	bovine herpesvirus		9	<=10	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Asia	no	zoo	no	IV	Coronaviridae	feline coronavirus		4	<=5	2	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		5	<=5	3	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Tragelaphus spekii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Asia	no	zoo	no	I	Herpesviridae	bovine herpesvirus	1	5	<=5	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Alouatta belzebul	Alouatta	belzebul		VU	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Africa	yes			I	Herpesviridae	equine herpesvirus	1	17	<=50	0	wild	NA	2009	2011			Abdelgawad et al, 2015	2015	1	JV	ok	2022
Panthera leo	Panthera	leo		VU	Carnivora	Felidae	Africa	Africa	yes			I	Herpesviridae	equine herpesvirus	9	17	<=50	0	wild	NA	2009	2011			Abdelgawad et al, 2015	2015	1	JV	ok	2022
Alouatta guariba	Alouatta	guariba		VU	Primates	Atelidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		2	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Alouatta guariba	Alouatta	guariba		VU	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		3	<=5	3	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Alouatta seniculus	Alouatta	seniculus		LC	Primates	Atelidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		2	<=5	2	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Aotus nigriceps	Aotus	nigriceps		LC	Primates	Aotidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Ateles paniscus	Ateles	paniscus		VU	Primates	Atelidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Brachyteles arachnoides	Brachyteles	arachnoides		CR	Primates	Atelidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Cacajao melanocephalus	Cacajao	melanocephalus		LC	Primates	Pitheciidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		3	<=5	2	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Callicebus moloch	Callicebus	moloch		LC	Primates	Pitheciidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Callicebus personatus	Callicebus	personatus		VU	Primates	Pitheciidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		2	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Callimico goeldii	Callimico	goeldii		VU	Primates	Callitrichidae	South America	South America	yes	zoo	no	VI	Retroviridae	simian foamy virus		1	<=5	0	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Callithrix aurita	Callithrix	aurita		EN	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		3	<=5	2	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
Callithrix geoffroyi	Callithrix	geoffroyi		LC	Primates	Callitrichidae	South America	South America	yes	research_facility	no	VI	Retroviridae	simian foamy virus		1	<=5	1	captive	NA	NA	NA	2	anesthetized	Muniz et al, 2015	2015	8	BP	ok	2022
