host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Nanger dama	Nanger	dama		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	10	<=10	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Oreamnos americanus	Oreamnos	americanus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	12	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Oryx gazella	Oryx	gazella		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		37.5	16	<=50	6	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ovibos moschatus	Ovibos	moschatus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		80	10	<=10	8	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ovis aries	Ovis	aries		NA	Cetartiodactyla	Bovidae	"Europe; Asia"	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		68.4210526	19	<=50	13	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ovis dalli	Ovis	dalli		LC	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		50	8	<=10	4	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ovis orientalis	Ovis	orientalis		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		25	24	<=50	6	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Pseudois nayaur	Pseudois	nayaur		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		28.5714286	7	<=10	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Redunca fulvorufula	Redunca	fulvorufula		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		16.6666667	6	<=10	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Syncerus caffer	Syncerus	caffer		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		4.76190476	21	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Camelus bactrianus	Camelus	bactrianus		NA	Cetartiodactyla	Camelidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	10	<=10	0	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Tragelaphus angasii	Tragelaphus	angasii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	12	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	28	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	18	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Tragelaphus spekeii	Tragelaphus	spekii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	15	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Tragelaphus strepsiceros	Tragelaphus	strepsiceros		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	14	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Lama guanicoe	Lama	guanicoe		LC	Cetartiodactyla	Camelidae	South America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	14	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Lama pacos	Lama	pacos		NA	Cetartiodactyla	Camelidae	South America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	23	<=50	0	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Vicugna vicugna	Vicugna	vicugna		LC	Cetartiodactyla	Camelidae	South America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	13	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	V	Paramyxoviridae	canine distemper virus		87.5	56	>50	49	captive	1998-1999	1998	1999	Ramanathan et al, 2007	2007	2	BP
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	VI	Retroviridae	feline immunodeficiency virus		0	56	>50	0	captive	1998-1999	1998	1999	Ramanathan et al, 2007	2007	2	BP
Panthero leo persica	Panthera	leo	persica	VU	Carnivora	Felidae	Asia	Asia	yes	VI	Retroviridae	feline leukemia virus		0	56	>50	0	captive	1998-1999	1998	1999	Ramanathan et al, 2007	2007	2	BP
